t,x,y,z,diff_norm
9.790000000000001,-9.528031185681789,-7.032684782540517,31.12253606679871,3.990460618446183e-06
9.7925,-9.46528728608847,-6.941568289361668,31.081073024815332,3.994295141459681e-06
9.795,-9.401864142099095,-6.852179189873797,31.03666576172785,3.998076178215998e-06
9.7975,-9.337822201955806,-6.76457258296737,30.98939265479965,4.001752567674838e-06
9.8,-9.273221467307708,-6.678799611132402,30.939332887699543,4.005274036776232e-06
9.8025,-9.208121493211047,-6.594907460458704,30.88656645050188,4.008591242516823e-06
9.805,-9.142581388128944,-6.512939360635513,30.831174139686386,4.011655839137799e-06
9.807500000000001,-9.07665981393152,-6.432934584951682,30.773237558138202,4.014420521901334e-06
9.81,-9.010414985896048,-6.354928450295848,30.712839115148068,4.016839103091779e-06
9.8125,-8.943904672706662,-6.278952317156085,30.650062026412044,4.018866562816789e-06
9.815,-8.877186069654426,-6.205033817813069,30.58498995927417,4.0204683138186315e-06
9.8175,-8.810315167140132,-6.133198033690882,30.51770505257475,4.021610328532503e-06
9.82,-8.74334769233873,-6.063465731249249,30.448290582191227,4.022254801904444e-06
9.8225,-8.676338407805778,-5.995854479878543,30.376829454589867,4.022375497545973e-06
9.825000000000001,-8.609340966842426,-5.930378903354799,30.303403834193556,4.0219487435997526e-06
9.8275,-8.542407913495566,-5.867050679839853,30.228095143381992,4.02095334480983e-06
9.83,-8.475590682557538,-5.8058785418810555,30.150984062491347,4.019370446145154e-06
9.8325,-8.408939599566324,-5.746868276411465,30.072150529814483,4.0171834487414625e-06
9.835,-8.34250388080546,-5.690022724749758,29.99167374160084,4.014377928245954e-06
9.8375,-8.276331633304206,-5.635341782600388,29.909632152056684,4.010941553685317e-06
9.84,-8.21046984614327,-5.582822464172405,29.826103438963557,4.0068642109549e-06
9.8425,-8.144964122982937,-5.532460794814322,29.741163431601798,4.00214003094304e-06
9.845,-8.07985890196622,-5.48424988418065,29.654887066895526,3.996764197098546e-06
9.8475,-8.015197381289342,-5.438180424410385,29.567348272228188,3.990734026314187e-06
9.85,-7.951021406152228,-5.394241535424367,29.478619538144304,3.984049219260419e-06
9.852500000000001,-7.88737146875866,-5.352420764925383,29.38877191834963,3.97671170908835e-06
9.855,-7.8242867083164,-5.312704088398251,29.297875029711374,3.9687255225695965e-06
9.8575,-7.761804911036922,-5.275075909109643,29.205997052257793,3.960096654859597e-06
9.86,-7.6999625101355935,-5.239519058108205,29.113204729178463,3.9508329547075785e-06
9.8625,-7.638794585831589,-5.206014794224504,29.019563366824148,3.940944025033239e-06
9.865,-7.578334865348059,-5.174542804071118,28.925136834707054,3.930441124902352e-06
9.8675,-7.518615734671594,-5.145081300655153,28.829987563589608,3.919333684913047e-06
9.870000000000001,-7.459668417122691,-5.117609006132868,28.734176457215533,3.907629205550777e-06
9.8725,-7.401522622604697,-5.0921029603124355,28.637762883145484,3.895348231168385e-06
9.875,-7.344206727552886,-5.068539104315747,28.540804787784083,3.88250256708895e-06
9.8775,-7.287747880708763,-5.0468930109084855,28.443358700986973,3.8691055553548525e-06
9.88,-7.232172003119983,-5.027139884500091,28.34547973606067,3.855171942953731e-06
