t,x,x_dot,theta,theta_dot
0.16666666666666669,0.05367977154846813,-0.03604069030518847,-0.021664511905184806,0.09828526841574863
0.17,0.05355781287974256,-0.037085984641497746,-0.02133412436167606,0.09979264865885054
0.17333333333333334,0.05343283098576429,-0.03784892247542444,-0.021000181553961317,0.10039908857965218
0.17666666666666667,0.05330570955467915,-0.03837393875887374,-0.020665499043054734,0.10024983607335651
0.18000000000000002,0.05317719190273935,-0.038700128043187725,-0.020332434271073438,0.09947263647086667
0.18333333333333335,0.05304790095653058,-0.038862409635775585,-0.0200029514916111,0.0981815395053756
0.18666666666666668,0.0529183260647533,-0.038893192445879986,-0.019678576921149334,0.09648229428428272
0.19,0.05278880938930555,-0.03881957073509054,-0.01936035613233371,0.0944632230163733
0.19333333333333336,0.05265964035390639,-0.03866560646749093,-0.019049163579781703,0.09220273698969515
0.19666666666666668,0.05253105847249904,-0.038452434879228975,-0.01874571183910103,0.08976968258701615
0.2,0.052403253349250827,-0.038198264478516576,-0.018450551606889652,0.08722334128582417
0.20333333333333334,0.05227636467855321,-0.037918377045629774,-0.018164071700735758,0.08461342965832712
0.2066666666666667,0.05215047526170374,-0.03762605245446023,-0.017886475285102992,0.08198309716733614
0.21000000000000002,0.05202557879099883,-0.03733201706748659,-0.01761767408540267,0.07936709838628069
0.21333333333333335,0.051901637931963285,-0.03704445000371045,-0.01735747988508526,0.07679187567463511
0.21666666666666667,0.05177860917423117,-0.03677039252475687,-0.017105685324551128,0.07428016604476276
0.22,0.05165644283922393,-0.03651574941509513,-0.016862063925351306,0.0718510056554934
0.22333333333333336,0.05153508308015042,-0.03628528898203875,-0.016626370090187477,0.06951972981212336
0.22666666666666668,0.05141446740374617,-0.036082650495374693,-0.01639833752010226,0.06729799664811759
0.23,0.051294500651334285,-0.03591026286841959,-0.016177593492554772,0.06519349528509019
0.23333333333333334,0.05117505921236227,-0.03576893392358021,-0.015963673079687175,0.06320861480052124
0.2366666666666667,0.05105602716250736,-0.0356589598357384,-0.015756137410490114,0.06134408901973778
0.24000000000000002,0.05093729631999331,-0.03558038110859223,-0.015554573651855223,0.05959982874680157
0.24333333333333335,0.050818766245590424,-0.03553298257465592,-0.015358595008575133,0.05797492176450898
0.24666666666666667,0.05070034424261551,-0.035516293395259906,-0.015167840723343472,0.05646763283439108
0.25,0.05058194231941031,-0.03552955325013439,-0.014981966088806796,0.055075290613398255
0.25333333333333335,0.050463456690390485,-0.035571226958148766,-0.014800575248932414,0.053792688172082416
0.2566666666666667,0.05034478735779559,-0.035639315177936545,-0.014623285513001287,0.05261311350140445
0.26,0.050225844502117416,-0.03573190385347487,-0.014449747985563283,0.051530142665748326
0.26333333333333336,0.050106547709070484,-0.03584718032641564,-0.01427964500478229,0.050537691391696254
0.26666666666666666,0.049986825969592016,-0.03598343333608547,-0.014112690142436244,0.04963001506802879
0.27,0.04986661767984194,-0.0361390530194857,-0.013948628203917098,0.0488017087457247
0.2733333333333334,0.04974586861238209,-0.03631248665249069,-0.013787228573995298,0.04804756113361518
0.27666666666666667,0.04962451831700866,-0.03650179086761264,-0.013628240735957194,0.04736108455890848
0.28,0.04950251438562347,-0.03670493985422849,-0.013471441060545847,0.046735531826692135
0.2833333333333333,0.04937981185653591,-0.036920089188400985,-0.013316630627757845,0.04616475348736394
0.2866666666666667,0.04925637198744175,-0.037145567310879195,-0.013163631187606373,0.04564316886177832
0.29000000000000004,0.04913216225542315,-0.03737987552709847,-0.013012285160121238,0.045165766041246426
0.29333333333333333,0.04900715635694867,-0.03762168800718045,-0.012862455635348845,0.04472810188753605
0.2966666666666667,0.04888133420787325,-0.03786985178593312,-0.012714026373352207,0.04432630203287167
0.30000000000000004,0.048754679141619746,-0.038123298750457765,-0.012566892634972269,0.043956771809829105
0.30333333333333334,0.04862717139590149,-0.03838070099839966,-0.012420939981103822,0.04361506890481813
0.3066666666666667,0.048498801165212053,-0.03864089678087406,-0.012276086974519198,0.043297301825159104
0.31,0.04836956170172993,-0.038902856611380515,-0.012132262451681409,0.043000012585568216
0.31333333333333335,0.04823944856764403,-0.03916566678932446,-0.011989403070151,0.04272012236220089
0.3166666666666667,0.048108459635153755,-0.039428529400017245,-0.011847453308586078,0.04245493149265175
0.32,0.047976595086468905,-0.039690762314676074,-0.011706365466742285,0.042202119475954696
0.32333333333333336,0.047843857413809775,-0.03995179919042408,-0.011566099665472812,0.04195974497258283
0.32666666666666666,0.047710251419407095,-0.04021118947029028,-0.0114266238467284,0.04172624580444849
0.33,0.047575783760400794,-0.04046858586303236,-0.011287912282260629,0.041500397774095324
0.33333333333333337,0.047440452739064214,-0.04072337953375446,-0.011149912185616435,0.04128011791194912
0.33666666666666667,0.04730426895047655,-0.040975129060444704,-0.011012611482336846,0.04106388062909998
0.34,0.047167248975489746,-0.04122356968380503,-0.010876017993067222,0.040850741267388156
0.3433333333333334,0.04702940878462224,-0.041468465981034056,-0.010740137791348293,0.04063985023555798
