t,i,omega
0.382,3.054566040794886,6.647136907167379
0.384,3.0636587495445804,6.706983878602897
0.386,3.072691237766843,6.767000120344514
0.388,3.081663678511088,6.827184395498648
0.39,3.0905762446152174,6.887535470847238
0.392,3.0994291087056203,6.9480521168477525
0.394,3.108222443197173,7.008733107633184
0.396,3.1169564202932376,7.069577221012047
0.398,3.125631211985665,7.130583238468388
0.4,3.134246990054792,7.191749945161776
0.402,3.142803926069443,7.253076129927303
0.404,3.1513021913869297,7.31456058527559
0.406,3.1597419571530496,7.376202107392782
0.408,3.168123394302089,7.437999496140549
0.41,3.176446673556821,7.499951555056089
0.412,3.1847119654285034,7.562057091352122
0.414,3.192919440216885,7.624314915916896
0.416,3.201069268010197,7.686723843314184
0.418,3.2091616186851635,7.74928269178328
0.42,3.21719666190699,7.811990283239013
0.422,3.225174567129373,7.874845443271731
0.424,3.2330955035944933,7.937847001147309
0.426,3.240959640333021,8.000993789807143
0.428,3.248767146164112,8.064284645868165
0.43,3.2565181896954094,8.12771840962282
0.432,3.264212939323044,8.191293925039089
0.434,3.2718515632316336,8.25501003976047
0.436,3.279434229394282,8.318865605105998
0.438,3.286961105572581,8.382859476070216
0.44,3.29443235931661,8.44699051132321
0.442,3.3018481579649337,8.511257573210582
0.444,3.3092086686446054,8.575659527753459
0.446,3.3165140582711654,8.640195244648499
0.448,3.3237644935486403,8.704863597267881
0.45,3.3309601409695446,8.769663462659313
0.452,3.338101166814879,8.834593721546025
0.454,3.345187737154132,8.899653258326772
0.456,3.352220017845278,8.96484096107584
0.458,3.3591981745347805,9.030155721543036
0.46,3.366122372657589,9.095596435153691
0.462,3.372992777335181,9.16116199902673
0.464,3.379809552339011,9.226851288836064
0.466,3.3865728625752896,9.292663203732896
0.468,3.3932828732108336,9.35859665521569
0.47,3.3999397491664123,9.42465055808342
0.472,3.40654365511675,9.490823830435556
0.474,3.4130947554905244,9.557115393672063
0.476,3.4195932144703685,9.62352417249341
0.478,3.426039195992869,9.69004909490056
0.48,3.432432863748566,9.75668909219498
0.482,3.438774381181955,9.823443098978634
0.484,3.4450639114914856,9.890310053153986
0.486,3.451301617629561,9.957288895923996
0.488,3.4574876623025386,10.024378571792123
0.49,3.4636222079707304,10.091578028562331
0.492,3.4697054168484027,10.15888621733908
0.494,3.475737450903776,10.22630209252732
0.496,3.481718471859024,10.293824611832518
0.498,3.4876486411902765,10.361452736260622
0.5,3.493528120127616,10.429185430118087
0.502,3.499357069655079,10.497021661011877
0.504,3.505135650510657,10.56496039984943
0.506,3.510864023186297,10.633000620838708
0.508,3.516542347927898,10.701141301488155
0.51,3.522170784735313,10.769381422606733
0.512,3.5277494933623514,10.837719968303876
0.514,3.533278633316775,10.90615592598954
0.516,3.5387583638603006,10.97468828637417
0.518,3.544188844008599,11.043316043468712
0.52,3.549570232531296,11.112038194584612
0.522,3.5549026879519694,11.180853740333813
0.524,3.5601863685481536,11.249761684628757
0.526,3.565421432351336,11.318761034682383
0.528,3.5706080371469597,11.387850801008138
0.53,3.5757463404744185,11.45702999741996
0.532,3.5808364996270643,11.526297641032285
0.534,3.585878671652201,11.59565275226005
0.536,3.590873013351088,11.665094354818695
0.538,3.595819681278938,11.734621475724158
0.54,3.600718831744917,11.804233145292867
0.542,3.605570620812148,11.87392839714176
0.544,3.610375204297706,11.943706268188272
0.546,3.61513273777262,12.01356579865033
0.548,3.619843376561876,12.083506032046364
0.55,3.62450727574441,12.153526015195313
0.552,3.6291245901531153,12.223624798216592
0.554,3.6336954743748384,12.293801434530138
0.556,3.638220082750381,12.364054980856377
0.558,3.6426985693744967,12.434384497216232
0.56,3.647131088095896,12.50478904693113
0.562,3.651517792517241,12.575267696622994
0.5640000000000001,3.655858835995151,12.645819516214244
0.5660000000000001,3.660154371640196,12.716443578927803
0.5680000000000001,3.664404552316904,12.787138961287097
0.5700000000000001,3.6686095306437543,12.85790474311604
0.5720000000000001,3.6727694589931823,12.928740007539052
0.5740000000000001,3.676884489491576,12.999643840981047
0.5760000000000001,3.680954774019278,13.07061533316745
0.578,3.6849804642105854,13.141653577124169
0.58,3.6889617114537514,13.21275766917762
0.582,3.692898666890978,13.28392670895472
0.584,3.696791481418429,13.355159799382884
0.586,3.700640305686216,13.426456046690015
0.588,3.7044452900984073,13.497814560404532
0.59,3.708206584813026,13.56923445335534
0.592,3.711924339742049,13.640714841671848
0.594,3.715598704551406,13.712254844783963
0.596,3.719229828660983,13.783853585422094
0.598,3.7228178612446183,13.855510189617146
0.6,3.726362951230107,13.927223786700525
0.602,3.729865247299196,13.998993509304126
0.604,3.7333248978875857,14.070818493360363
0.606,3.736742051184934,14.142697878102132
0.608,3.740116855074176,14.214630798720714
0.61,3.743449457154104,14.28661636675145
0.612,3.746740005293507,14.35865372914254
0.614,3.7499886471531583,14.430742040481102
0.616,3.753195530131182,14.502880458224343
0.618,3.7563608013630554,14.575068142699562
0.62,3.759484607721604,14.64730425710414
0.622,3.7625670958170105,14.719587967505555
0.624,3.7656084119968063,14.791918442841366
0.626,3.768608702345876,14.864294854919226
0.628,3.771568112686455,14.936716378416872
0.63,3.774486788578131,15.009182190882138
0.632,3.777364875317845,15.081691472732937
0.634,3.780202517939888,15.154243407257276
0.636,3.782999861215904,15.226837180613252
0.638,3.785757049654889,15.299471981829049
0.64,3.78847422750319,15.372147002802938
0.642,3.7911515387445074,15.44486143830328
0.644,3.7937891270998927,15.51761448596853
0.646,3.7963871360277497,15.590405346307222
0.648,3.7989457087238327,15.663233222697984
0.65,3.8014649881212503,15.736097321389536
0.652,3.803945116890462,15.808996851500684
0.654,3.806386237439278,15.881931025020318
0.656,3.8087884919128623,15.954899056807424
0.658,3.81115202219373,16.027900164591074
0.66,3.813476969901748,16.100933568970426
0.662,3.815763476394136,16.17399849341473
0.664,3.818011682765464,16.247094164263327
0.666,3.820221729847656,16.320219810725643
0.668,3.822393758209986,16.393374664881193
0.67,3.8245279081590815,16.466557961679584
0.672,3.826624319738921,16.539768938940504
0.674,3.828683132730836,16.61300683735374
0.676,3.830704486653508,16.686270900479162
0.678,3.832688520762972,16.759560374746727
0.68,3.834635374052615,16.832874509456488
0.682,3.836545185253175,16.90621255677858
0.684,3.838418092832743,16.979573771753227
0.686,3.840254234996761,17.05295741229075
0.6880000000000001,3.842053749688024,17.126362739171547
0.6900000000000001,3.843816774586677,17.19978901604611
0.6920000000000001,3.8455434471102192,17.273235509435025
0.6940000000000001,3.8472339044135007,17.34670148872896
0.6960000000000001,3.848888283388724,17.420186226188676
0.6980000000000001,3.8505067206654418,17.493688996945018
0.7000000000000001,3.852089352610561,17.56720907899892
0.7020000000000001,3.85363631532834,17.64074575322141
0.704,3.855147744660388,17.7142983033536
0.706,3.856623776185667,17.787866016006696
0.708,3.858064545220491,17.86144818066199
0.71,3.859470186818526,17.935044089670864
0.712,3.8608408357707886,18.00865303825478
0.714,3.8621766266056494,18.082274324505303
0.716,3.863477693588829,18.15590724938408
0.718,3.864744170723402,18.22955111672284
0.72,3.8659761917497937,18.30320523322341
0.722,3.867173890145781,18.376868908457705
0.724,3.8683373991264927,18.450541454867725
0.726,3.869466851644411,18.524222187765563
0.728,3.870562380389369,18.5979104253334
0.73,3.871624117788552,18.6716054886235
0.732,3.872652196006496,18.745306701558217
0.734,3.873646746945092,18.819013390930007
0.736,3.874607902243578,18.8927248864014
0.738,3.875535793278551,18.966440520505014
0.74,3.876430551163952,19.04015962864357
0.742,3.8772923067510807,19.11388154908986
0.744,3.878121190628584,19.187605622986787
0.746,3.8789173331224633,19.26133119434732
0.748,3.879680864296072,19.335057610054523
0.75,3.880411913950113,19.40878421986156
0.752,3.881110611622644,19.482510376391676
0.754,3.881777086589073,19.5562354351382
0.756,3.882411467862161,19.629958754464557
0.758,3.88301388419202,19.703679695604254
0.76,3.883584464066114,19.777397622660903
0.762,3.8841233359054246,19.85111189415348
0.764,3.8846306287552816,19.924821840332687
0.766,3.8851064707539513,19.998526831763133
0.768,3.885550989660689,20.072226247002018
0.77,3.8859643129716095,20.145919467014757
0.772,3.886346567919691,20.219605875174988
0.774,3.886697881474772,20.293284857264585
0.776,3.887018380343552,20.36695580147364
0.778,3.887308190969593,20.440618098400464
0.78,3.887567439533316,20.5142711410516
0.782,3.887796251952007,20.587914324841822
0.784,3.8879947538798096,20.66154704759411
0.786,3.888163070707732,20.73516870953968
0.788,3.88830132756364,20.808778713317977
0.79,3.8884096493122655,20.882376463976662
0.792,3.888488160555197,20.95596136897162
0.794,3.888536985630888,21.02953283816697
0.796,3.888556248614651,21.103090283835048
0.798,3.8885460733186608,21.17663312065641
0.8,3.8885065832919534,21.25016076571985
0.802,3.888437901820426,21.32367263852238
0.804,3.888340151926837,21.397168160969223
0.806,3.888213456370808,21.47064675737386
0.808,3.888057937648818,21.544107854457955
0.81,3.887873717994211,21.61755088135143
0.812,3.887660919377191,21.690975269592418
0.8140000000000001,3.887419663504823,21.764380453127277
0.8160000000000001,3.887150071821034,21.83776586831058
0.8180000000000001,3.886852265506612,21.911130953905147
0.8200000000000001,3.8865263654792064,21.984475151082005
0.8220000000000001,3.886172492393328,22.05779790342041
0.8240000000000001,3.885790766640348,22.131098656907845
0.8260000000000001,3.885381308348501,22.20437685994002
0.8280000000000001,3.884944237382881,22.277631963320857
0.8300000000000001,3.884479673345444,22.350863420262517
0.8320000000000001,3.883987735575008,22.42407068638537
0.834,3.8834685431472513,22.49725321971803
0.836,3.882922214874714,22.57041048069732
0.838,3.882348869306798,22.6435419321683
0.84,3.881748624729765,22.71664703938424
0.842,3.881121599166741,22.78972527000665
0.844,3.8804679103777087,22.862776094105246
0.846,3.879787675859517,22.935798984157984
0.848,3.879081012845873,23.008793415051045
0.85,3.878348038307347,23.08175886407882
0.852,3.877588868951369,23.154694810943944
0.854,3.876803621222232,23.22760073775726
0.856,3.875992411301088,23.300476129037843
0.858,3.8751553551059534,23.37332047171299
0.86,3.874292568291703,23.446133255118227
0.862,3.8734041662500753,23.5189139709973
0.864,3.872490264109669,23.59166211350218
0.866,3.8715509767359433,23.664377179193067
0.868,3.870586418731221,23.73705866703838
0.87,3.869596704434684,23.809706078414763
0.872,3.868581947922377,23.88231891710709
0.874,3.8675422630072047,23.954896689308452
0.876,3.8664777632389353,24.027438903620173
0.878,3.865388561904196,24.0999450710518
0.88,3.864274772026476,24.172414705021087
0.882,3.863136506366127,24.24484732135404
0.884,3.861973877420361,24.31724243828487
0.886,3.860786997423252,24.389599576456025
0.888,3.859575978345733,24.461918258918168
0.89,3.8583409318956026,24.53419801113019
0.892,3.857081969517517,24.60643836095921
0.894,3.855799202392996,24.678638838680563
0.896,3.854492741440418,24.75079897697782
0.898,3.8531626973150255,24.822918310942764
0.9,3.851809180408924,24.89499637807541
0.902,3.8504323008510735,24.96703271828401
0.904,3.8490321685073017,25.039026873885007
0.906,3.847608892980296,25.110978389603098
0.908,3.8461625836096034,25.1828868125712
0.91,3.844693349471634,25.25475169233044
0.912,3.8432012993796594,25.32657258083018
0.914,3.841686541883811,25.398349032428012
0.916,3.8401491852710823,25.47008060388975
0.918,3.838589337565329,25.54176685438942
0.92,3.837007106527268,25.61340734550928
0.922,3.8354025996544743,25.685001641239825
0.924,3.833775924267032,25.75654930621636
0.926,3.832127189383248,25.82804986907272
0.928,3.830456502703572,25.89950288746077
0.93,3.8287639708478136,25.970907938821064
0.932,3.827049700185745,26.042264602533663
0.934,3.8253137968371047,26.11357245991814
0.936,3.823556366671597,26.18483109423358
0.938,3.82177751530889,26.25604009067857
