t,x,y,z
8.6475,-6.970462297476747,-5.394798467835955,27.31640698090043
8.65,-6.931545459630788,-5.393956439256543,27.22832849690111
8.6525,-6.893586551803732,-5.394566146488853,27.14031648455236
8.655,-6.856597582764647,-5.396607865156551,27.05240828282593
8.6575,-6.820589811614723,-5.400062017867909,26.96464043336313
8.66,-6.785573747787367,-5.404909174215794,26.877048680475035
8.6625,-6.751559151048053,-5.411130050777682,26.78966797114214
8.665000000000001,-6.718555031494404,-5.418705511115656,26.702532455014538
8.6675,-6.686569649556254,-5.427616565776386,26.61567548441211
8.67,-6.655610515995512,-5.437844372291161,26.529129614324145
8.6725,-6.625684391906255,-5.4493702351758655,26.442926602409592
8.675,-6.596797344096341,-5.462175659871611,26.357097488263804
8.6775,-6.568955392078338,-5.476243099753455,26.27167351729853
8.68,-6.542163610845176,-5.491555166756345,26.186684826453565
8.682500000000001,-6.516426439015394,-5.508094667030472,26.102160858413143
8.685,-6.491747879647058,-5.525844764939401,26.018130647349285
8.6875,-6.468131500237644,-5.544788983060151,25.934622818921376
8.69,-6.44558043272412,-5.564911202183144,25.85166559027645
8.6925,-6.424097373482907,-5.586195661312232,25.769286770049067
8.695,-6.403684583329943,-5.608626957664634,25.687513758361515
8.6975,-6.384343887520585,-5.632190046671033,25.606373546823495
8.700000000000001,-6.366076675749669,-5.656870241975527,25.525892718532287
8.7025,-6.348883902151535,-5.682653215435581,25.4460974480729
8.705,-6.332766085299954,-5.709524997122119,25.367013501517768
8.7075,-6.317723308208181,-5.737471975319472,25.28866623642694
8.71,-6.303755218328931,-5.766480896525401,25.211080601848
8.7125,-6.290861027554417,-5.796538865451021,25.134281138316243
8.715,-6.279039612033697,-5.827633305838316,25.05829214532877
8.7175,-6.268290216059459,-5.859751870872141,24.983138682708056
8.72,-6.258611595332977,-5.892882867632099,24.9088449889724
8.7225,-6.250002195607662,-5.927014875346953,24.83543502627323
8.725,-6.242460253576155,-5.962136680259976,24.762932671510377
8.727500000000001,-6.235983796870349,-5.998237275628882,24.6913617163322
8.73,-6.230570644061404,-6.035305861725749,24.620745867135767
8.7325,-6.226218404659713,-6.07333184583717,24.55110874506653
8.735,-6.222924479114927,-6.112304842264152,24.482473886018543
8.7375,-6.220686058815945,-6.152214672322172,24.414864740634357
8.74,-6.219500126090922,-6.193051364341061,24.3483046743052
8.7425,-6.219363454207257,-6.234805153665174,24.28281696717071
8.745000000000001,-6.220272607371606,-6.277466482653305,24.218424814119075
8.7475,-6.22222394072987,-6.321026000678603,24.15515132478716
8.75,-6.225213600367201,-6.365474564128741,24.093019523560237
8.7525,-6.229237523308008,-6.410803236405806,24.032052349572165
8.755,-6.234291464729786,-6.45700318796055,23.972272698485146
8.7575,-6.2403714669071135,-6.504064717379468,23.91370397966269
8.76,-6.247473596461715,-6.55197892030237,23.85636956646205
8.762500000000001,-6.255593730245252,-6.600737054762921,23.800292786946663
