t,theta,theta_dot,KE,PE,E,E_minus_E0
5.01,-0.09996601876824636,-0.008130403966248523,3.305173432719486e-05,0.04897586420138991,0.04900891593571711,-2.2268684959220186e-07
5.015,-0.09999443161300499,-0.0032344409503012803,5.230804130492924e-06,0.04900368528601627,0.049008916090146765,-2.2253241993563933e-07
5.0200000000000005,-0.0999983619420992,0.0016623094401954606,1.3816363374814728e-06,0.049007534377747845,0.04900891601408533,-2.2260848137056755e-07
5.025,-0.0999778088120308,0.0065586531721534905,2.1507965716299523e-05,0.048987407735021006,0.04900891570073731,-2.2292182939170901e-07
5.03,-0.099932777297314,0.011453396446854634,6.559014508441117e-05,0.04894332505989017,0.049008915204974586,-2.2341759211425005e-07
5.035,-0.09986327849047535,0.016345345699947243,0.0001335851630253919,0.04887532948004952,0.04900891464307491,-2.2397949178687426e-07
5.04,-0.09976932950205386,0.021233307601447086,0.00022542667584883532,0.04878348750950897,0.049008914185357806,-2.2443720889414598e-07
5.045,-0.09965095345398063,0.026116089139034324,0.0003410250559589933,0.048667888981479814,0.04900891403743881,-2.245851278906419e-07
5.05,-0.09950817913363827,0.030992500585658698,0.0004802675462760274,0.04852864662933902,0.04900891417561505,-2.2444695164935968e-07
5.055,-0.09934104125019465,0.03586135039153465,0.0006430182259522112,0.04836589623572546,0.04900891446167767,-2.241608890313218e-07
5.0600000000000005,-0.09914958056092782,0.04072144788864876,0.0008291181590739683,0.04817979663257262,0.04900891479164659,-2.2383092011107886e-07
5.065,-0.09893384374259823,0.04557160570943935,0.0010383856234683026,0.047970529431726756,0.04900891505519506,-2.235673716433073e-07
5.07,-0.09869388339144852,0.0504106397868017,0.0012706163018573373,0.047738298860529785,0.049008915162387125,-2.2346017957558528e-07
5.075,-0.09842975802320368,0.05523736935408459,0.0015255834865797817,0.04748333157679598,0.04900891506337576,-2.2355919093719478e-07
5.08,-0.09814153207307098,0.06005061694509112,0.0018030382977430321,0.04720587646325846,0.04900891476100149,-2.2386156520864953e-07
5.085,-0.09782927589573999,0.06484920839407876,0.0021027099146693276,0.0469062044016033,0.04900891431627263,-2.2430629407349523e-07
5.09,-0.09749306576538257,0.06963197283575936,0.002424305820499965,0.046584608026214266,0.049008913846714235,-2.24775852465664e-07
5.095,-0.0971329838756529,0.07439774270529906,0.0027675120598219397,0.04624140145774356,0.0490089135175655,-2.2510500120170862e-07
