ic_index,t,v,iL
1,37.913333333333334,0.6825287065863868,-2.080783821293882
1,37.91666666666667,0.6913909337037365,-2.0784939955096555
1,37.92,0.7002609379347671,-2.0761746171724615
1,37.92333333333334,0.7091382485890009,-2.0738256591090947
1,37.92666666666667,0.7180223907199377,-2.0714470960105604
1,37.93,0.7269128851251867,-2.069038904432041
1,37.93333333333334,0.7358092483464106,-2.0666010627929094
1,37.93666666666667,0.7447109926692675,-2.0641335513767447
1,37.940000000000005,0.7536176261235451,-2.0616363523312966
1,37.943333333333335,0.7625286524830073,-2.0591094496685276
1,37.94666666666667,0.7714435712655476,-2.056552829264569
1,37.95,0.7803618777330359,-2.0539664788597647
1,37.95333333333333,0.7892830628914526,-2.051350388058635
1,37.95666666666667,0.7982066134908303,-2.048704548329889
1,37.96,0.8071320120251985,-2.0460289530064455
1,37.96333333333334,0.8160587367327148,-2.0433235972853905
1,37.96666666666667,0.8249862615955141,-2.040588478228025
1,37.970000000000006,0.8339140563398604,-2.037823594759817
1,37.973333333333336,0.8428415864359943,-2.0350289476704497
1,37.97666666666667,0.8517683130982665,-2.03220453961378
1,37.980000000000004,0.8606936932850806,-2.029350375107855
1,37.983333333333334,0.8696171796988363,-2.026466460534931
1,37.98666666666667,0.8785382207860623,-2.023552804141432
1,37.99,0.8874562607372638,-2.020609416037997
1,37.99333333333333,0.8963707394870561,-2.017636308199437
1,37.99666666666667,0.905281092714108,-2.0146334944647553
1,38.0,0.9141867518410836,-2.0116009905371643
1,38.00333333333334,0.9230871440347759,-2.008538813984043
1,38.00666666666667,0.9319816922059555,-2.0054469842369858
1,38.010000000000005,0.9408698150095213,-2.002325522591754
1,38.013333333333335,0.9497509268443495,-1.9991744522083237
1,38.016666666666666,0.9586244378534261,-1.9959937981108453
1,38.02,0.9674897539237899,-1.9927835871876582
1,38.02333333333333,0.9763462766864761,-1.9895438481913137
1,38.02666666666667,0.9851934035166482,-1.986274611738527
1,38.03,0.9940305275334473,-1.982975910310232
1,38.03333333333334,1.002857037600143,-1.9796477782515258
1,38.03666666666667,1.0116723183239824,-1.9762902517717247
1,38.04,1.0204757500563215,-1.972903368944315
1,38.04333333333334,1.0292667088925702,-1.9694871697069736
1,38.04666666666667,1.0380445666721339,-1.9660416958615907
1,38.050000000000004,1.0468086909785472,-1.9625669910742183
1,38.053333333333335,1.0555584451393214,-1.959063100875129
1,38.05666666666667,1.0642931882260964,-1.9555300726587563
1,38.06,1.0730122750544906,-1.9519679556837555
1,38.06333333333333,1.0817150561842308,-1.94837680107295
1,38.06666666666667,1.0904008779190961,-1.944756661813354
1,38.07,1.0990690823068643,-1.9411075927561967
1,38.07333333333334,1.1077190071394392,-1.9374296506168662
1,38.07666666666667,1.1163499859527035,-1.9337228939749742
1,38.080000000000005,1.1249613480266674,-1.9299873832742909
1,38.083333333333336,1.1335525230793702,-1.9262231848171012
1,38.086666666666666,1.1421230485593492,-1.9224303742934459
1,38.09,1.1506722668228944,-1.918609024421998
1,38.093333333333334,1.1591995195217004,-1.9147592096161368
1,38.09666666666667,1.167704153342838,-1.9108810061658197
1,38.1,1.1761855200086089,-1.9069744922376466
1,38.10333333333334,1.1846429762766892,-1.9030397478747947
1,38.10666666666667,1.1930758839399873,-1.899076854997085
1,38.11,1.2014836098267683,-1.8950858974009228
1,38.11333333333334,1.2098655258006,-1.891066960759324
1,38.11666666666667,1.2182210087603003,-1.8870201326219402
1,38.120000000000005,1.2265494406400612,-1.8829455024149986
1,38.123333333333335,1.2348502084093071,-1.8788431614413712
1,38.12666666666667,1.2431227040728363,-1.8747132028805054
1,38.13,1.2513663246706797,-1.8705557217884938
1,38.13333333333333,1.2595804722782242,-1.866370815098013
