t,theta1,theta1_dot,theta2,E,E_minus_E0,abs_delta_theta2
15.595,-0.25372412263482824,-2.0885513269373317,-0.7842192965449148,8.576418751892975,-3.0613040806995464,0.00221411965221352
15.6,-0.2642340486336961,-2.115203270545014,-0.7977829335298925,8.575811994361326,-3.0619108382311957,0.0021145544845320163
15.605,-0.27487394491275763,-2.1405335822145624,-0.8108260958148674,8.575233531075074,-3.062489301517447,0.0020158930552131027
15.610000000000001,-0.2856372135104074,-2.1645500638674493,-0.8233519463687813,8.574680953940323,-3.0630418786521982,0.0019181825874292624
15.615,-0.29651729044933633,-2.18726282391245,-0.8353638546636182,8.574152161419502,-3.0635706711730197,0.0018214708923566247
15.620000000000001,-0.3075076968210369,-2.208682914147961,-0.8468653633409218,8.573644145386258,-3.0640786872062638,0.0017257730356801115
15.625,-0.31860199729414507,-2.2288234528374047,-0.8578602239424119,8.573156037930158,-3.0645667946623636,0.0016311070682392126
15.63,-0.3297938258527663,-2.247697878769169,-0.8683524087005247,8.572685368329335,-3.0650374642631864,0.0015375031758879665
15.635,-0.34107688690691956,-2.265319897605959,-0.8783461104015937,8.572228839629656,-3.0654939929628657,0.001445017765437706
15.64,-0.35244495529256925,-2.2817034818848496,-0.8878457423858793,8.571783208891564,-3.0659396237009577,0.0013537049784727584
15.645,-0.36389187627159303,-2.296862871017235,-0.8968559385475401,8.57134613112766,-3.0663767014648613,0.0012635991502893962
15.65,-0.37541156492957084,-2.310812512774521,-0.9053815549507934,8.570916778451899,-3.0668060541406224,0.0011747164252094988
15.655000000000001,-0.38699800062437784,-2.3235656142579075,-0.9134277050596669,8.570492432046711,-3.06723040054581,0.0010870899863546502
15.66,-0.3986452460543927,-2.335134983036986,-0.9209997363178176,8.570072253292684,-3.067650579299837,0.001000746635455907
15.665000000000001,-0.41034741591653856,-2.345532350023154,-0.9281032678150851,8.569655348559838,-3.0680674840326834,0.0009157423440834256
15.67,-0.4220986676255313,-2.354767836597253,-0.93474420752336,8.569239744871485,-3.0684830877210363,0.0008321296706623738
