t,x,x_dot,theta,theta_dot,E,E_minus_E0
0.31333333333333335,0.9282374477932914,1.6431375747648636,5.203511693674325,4.758976253476105,1.0590618630750341,2.224529050792389
0.3166666666666667,0.9336272931553927,1.591158041563671,5.219324441586755,4.7286121701642925,1.0037012675818684,2.169168455299223
0.32,0.9388477353192165,1.5414888403071154,5.235035265700856,4.697791645986279,0.9523926008891583,2.117859788606513
0.32333333333333336,0.943906391379709,1.4940761730280758,5.250642403381299,4.66637969019953,0.9048505072813098,2.0703176949986646
0.32666666666666666,0.9488106898078463,1.4488621114311662,5.2661436726537305,4.634259823293602,0.8608034370052278,2.0262706247225823
0.33,0.9535678545012964,1.4057851586133296,5.281536544435543,4.601333460665133,0.8199940271684314,1.9854612148857862
0.33333333333333337,0.9581848969312122,1.3647809794675625,5.296818220063395,4.56751917438304,0.782179483999397,1.9476466717167518
0.33666666666666667,0.9626686156316606,1.325782436868081,5.311985635277854,4.532752662972882,0.7471310732218874,1.9125982609392422
0.34,0.9670255905382905,1.2887198145458187,5.327035487626188,4.496986364134926,0.714633740287038,1.8801009280043928
0.3433333333333334,0.9712621524922939,1.253522190902852,5.34196439987008,4.460187081865548,0.6844867178507001,1.849953905568055
0.3466666666666667,0.9753835829796204,1.2192148937452463,5.356770524855262,4.42417697420508,0.6558169442680702,1.8212841319854252
0.35000000000000003,0.9793958873689639,1.1903055978212003,5.371449969182816,4.379551762748656,0.6318964117841088,1.7973635995014636
0.35333333333333333,0.9833423975193982,1.1800194833972049,5.385921995376664,4.29895162239684,0.622076709459531,1.7875438971768858
0.3566666666666667,0.987259678995537,1.1703943535186518,5.400117717188086,4.218658011966499,0.6126999419496875,1.7781671296670423
0.36000000000000004,0.9911453184988478,1.1610320002263983,5.4140475557634185,4.1394207045703695,0.6034764186659609,1.7689436063833157
0.36333333333333334,0.9950002016002749,1.1519185643863634,5.427715080662185,4.0612321504927795,0.5944005307306076,1.7598677184479623
0.3666666666666667,0.9988251609135249,1.1430406601117233,5.44112385630124,3.9840857111922565,0.5854669901334154,1.75093417785077
0.37000000000000005,1.002620920176238,1.134385892333175,5.454277322040616,3.907979195648531,0.5766716602659956,1.7421388479833504
0.37333333333333335,1.0063881728660296,1.1259422585725287,5.467178907506015,3.832910253144002,0.5680105026725334,1.733477690389888
0.3766666666666667,1.0101275832237575,1.1176981408270301,5.479832034240049,3.758876312108838,0.5594795722268769,1.7249467599442316
0.38,1.0138397862535211,1.1096423055693614,5.492240115702241,3.6858745801209887,0.5510750258244472,1.716542213541802
0.38333333333333336,1.017525387722662,1.1017639037476403,5.504406557269025,3.61390204390617,0.5427931304879583,1.708260318205313
0.3866666666666667,1.021184964161763,1.0940524707854207,5.516334756233743,3.542955469337878,0.534630270888424,1.7000974586057787
0.39,1.0248190628646492,1.086497926581692,5.52802810180665,3.47303140143738,0.52658295628705,1.692050144004405
