t,i,omega,v,E,E_minus_E0
1.727,1.6850746206901805,46.20102511841076,6.0,2.844403841315561,2.844403841315561
1.7275,1.6849324906114362,46.20319912084232,6.0,2.844484983479719,2.844484983479719
1.728,1.6847905144138635,46.2053699063539,6.0,2.844565977547728,2.844565977547728
1.7285,1.684648691978849,46.20753747884815,6.0,2.8446468237056686,2.8446468237056686
1.729,1.684507023187822,46.20970184222426,6.0,2.8447275221395385,2.8447275221395385
1.7295,1.6843655079222553,46.211863000378,6.0,2.8448080730352543,2.8448080730352543
1.73,1.6842241460636624,46.21402095720169,6.0,2.8448884765786455,2.8448884765786455
1.7305,1.684082937493601,46.21617571658421,6.0,2.844968732955457,2.844968732955457
1.731,1.6839418820936705,46.218327282411,6.0,2.8450488423513507,2.8450488423513507
1.7315,1.6838009797455131,46.220475658564084,6.0,2.8451288049519023,2.8451288049519023
1.732,1.6836602303308132,46.222620848922,6.0,2.8452086209426004,2.8452086209426004
1.7325,1.683519633731298,46.22476285735989,6.0,2.84528829050885,2.84528829050885
1.733,1.6833791898287374,46.22690168774944,6.0,2.845367813835966,2.845367813835966
1.7335,1.6832388985049433,46.22903734395888,6.0,2.8454471911091783,2.8454471911091783
1.734,1.6830987596417708,46.23116982985304,6.0,2.8455264225136307,2.8455264225136307
1.7345,1.682958773121117,46.23329914929326,6.0,2.8456055082343745,2.8456055082343745
1.735,1.6828189388249215,46.23542530613749,6.0,2.845684448456378,2.845684448456378
1.7355,1.6826792566351672,46.23754830424021,6.0,2.845763243364516,2.845763243364516
1.736,1.6825397264338782,46.23966814745246,6.0,2.845841893143577,2.845841893143577
1.7365,1.6824003481031227,46.241784839621864,6.0,2.8459203979782597,2.8459203979782597
1.737,1.6822611215250098,46.24389838459258,6.0,2.8459987580531703,2.8459987580531703
1.7375,1.6821220465816926,46.246008786205344,6.0,2.8460769735528273,2.8460769735528273
1.738,1.681983123155366,46.24811604829744,6.0,2.846155044661657,2.846155044661657
1.7385,1.681844351128267,46.250220174702726,6.0,2.8462329715639947,2.8462329715639947
