t,x,y,z,delta_norm
0.53,-1.3797168620663276,-8.605000423012868,30.003012706457888,4.763354342768798e-08
0.535,-1.7306957939753445,-8.54787337385777,29.67195572094189,4.500500274974478e-08
0.54,-2.061770359874783,-8.490950719166726,29.359268469643375,4.251864552867178e-08
0.545,-2.3739483001550163,-8.435247232065295,29.06370614704708,4.0169721701585435e-08
0.55,-2.66823432432548,-8.381605890268734,28.784113422913844,3.795235660123325e-08
0.555,-2.945616746588439,-8.330719211535353,28.519429076061613,3.586091303525608e-08
0.56,-3.2070662477567486,-8.283164015816117,28.26867664496725,3.389010013213928e-08
0.5650000000000001,-3.453535507869229,-8.239406717439344,28.030963245313856,3.203488231593372e-08
0.5700000000000001,-3.6859548068455057,-8.199810927484943,27.80547835895749,3.0289619121947263e-08
0.5750000000000001,-3.9052167113593033,-8.164662128227533,27.591491897505428,2.8648613821068376e-08
0.58,-4.112183008728375,-8.13417716334257,27.388344997913098,2.710709402903338e-08
0.585,-4.307685355792053,-8.108514736805423,27.19544330854657,2.5660362764134123e-08
0.59,-4.492524283437664,-8.087777602967872,27.012255986761907,2.4303630553276463e-08
0.595,-4.667460636736913,-8.07202509543897,26.838312228953413,2.303183839144343e-08
0.6,-4.833218488600942,-8.061279190867563,26.673194882409025,2.18409500540566e-08
0.605,-4.990489683359986,-8.055530597804198,26.516532150498925,2.0727098028740833e-08
0.61,-5.139933749073843,-8.05473960187662,26.367996883898083,1.968645374704152e-08
0.615,-5.282173222524095,-8.058842631961317,26.227303766568337,1.871494546503973e-08
0.62,-5.417793167798032,-8.067756299090886,26.09420603706151,1.7809350467497806e-08
0.625,-5.547348150173148,-8.08138007809196,25.96848708343185,1.696682943099905e-08
0.63,-5.671362735338408,-8.099596953682239,25.849959355909434,1.6184587242711014e-08
0.635,-5.790330166776584,-8.122275648835451,25.738462874855895,1.545984834730794e-08
0.64,-5.904708220604222,-8.149274938285634,25.63386409591316,1.4790013426152524e-08
0.645,-6.014926168853375,-8.180443530848637,25.536049650651535,1.4173258944093677e-08
0.65,-6.121387134712538,-8.21562074517292,25.44492326484301,1.3607806908398573e-08
0.655,-6.22446807242725,-8.254636661497734,25.36040555146529,1.3091932349538168e-08
0.66,-6.324517035655899,-8.297314956684959,25.282432881534575,1.2623753023392147e-08
0.665,-6.421853331650566,-8.34347369508031,25.210956230626188,1.2201943742909272e-08
0.67,-6.516773755722361,-8.392924468959587,25.145935465571156,1.1825364476265381e-08
0.675,-6.6095531165003445,-8.445472475400939,25.087338630772866,1.1492796626666396e-08
0.68,-6.70044416612227,-8.500916722565993,25.035141634308314,1.1202951389088646e-08
0.685,-6.789674790867137,-8.559052174688917,24.98932785964894,1.0954264290426557e-08
0.6900000000000001,-6.877449696329542,-8.61966925493929,24.949886774992752,1.0745484187339635e-08
0.6950000000000001,-6.963955175957652,-8.682552864237692,24.91680926079818,1.0575254628408557e-08
0.7000000000000001,-7.049359324638555,-8.747482390136154,24.89008729583906,1.04420015446367e-08
0.705,-7.13381204033101,-8.81423179347422,24.86971375688541,1.0343957338990961e-08
0.71,-7.217443030965829,-8.88257098036912,24.855681883632833,1.0279020178940544e-08
0.715,-7.300361852714616,-8.952265501350094,24.847985234172455,1.024517061646157e-08
0.72,-7.382662643925327,-9.023075722891578,24.84661273677891,1.0240302264622717e-08
0.725,-7.46442452058637,-9.09475684800842,24.851548089820096,1.0262141379859178e-08
0.73,-7.545711576326593,-9.167058916255879,24.8627697617572,1.030829189117885e-08
0.735,-7.626572526819178,-9.239727592337443,24.880250083591303,1.0376284815929084e-08
0.74,-7.707038123874949,-9.312504561498121,24.90395603603439,1.046352480190857e-08
0.745,-7.787124867826001,-9.385127051915559,24.933846003601857,1.0567634094504359e-08
0.75,-7.866836961725033,-9.457328576065102,24.96986699617177,1.0686223185136263e-08
0.755,-7.946166312531,-9.52883893215783,25.011954645924835,1.0816916224940347e-08
0.76,-8.025092535857912,-9.599384216783562,25.060033198066613,1.0957393852123577e-08
0.765,-8.103582686042644,-9.66868872928294,25.11401435712956,1.1105407839636765e-08
0.77,-8.18158884468746,-9.736473620956858,25.17379804095298,1.1258693268650417e-08
0.775,-8.259052166567505,-9.802458758621947,25.23926907343313,1.1415279305244848e-08
0.78,-8.335904378929149,-9.866364612929795,25.31029546656163,1.1573258018168152e-08
0.785,-8.41206778148998,-9.92791225836693,25.386728420425456,1.1730789430326714e-08
0.79,-8.48745524643881,-9.986823373254841,25.46840232320697,1.188609865013141e-08
0.795,-8.561970592276918,-10.042822274626133,25.555134579537985,1.2037636812600138e-08
0.8,-8.63550659472779,-10.095636501468293,25.646724855092405,1.2183620470175723e-08
0.805,-8.707946971237874,-10.144996536348549,25.742954090239625,1.2322728904149942e-08
0.81,-8.779169898556713,-10.190641620651942,25.84358398527338,1.2453733868985218e-08
0.8150000000000001,-8.84904805817121,-10.232319861565582,25.948356993478708,1.2575448711105981e-08
0.8200000000000001,-8.917448636305629,-10.269788232078627,26.056996321131937,1.2686757218760147e-08
0.8250000000000001,-8.984233472236694,-10.302812909785654,26.169206108842925,1.2786703628720102e-08
0.8300000000000001,-9.049260111010748,-10.331174225570136,26.284673353078677,1.2874360797246214e-08
0.835,-9.112379107037096,-10.354662769748023,26.40306413235674,1.2948829067837698e-08
0.84,-9.173439774541203,-10.373086310633523,26.524027854823572,1.300971075698242e-08
0.845,-9.232291577598028,-10.386272124069515,26.647198648733802,1.3056632854626117e-08
0.85,-9.28878413013204,-10.394066993427552,26.772195362450248,1.3089262080209738e-08
0.855,-9.342767195917197,-10.396337209607868,26.898621564443914,1.310729831348269e-08
0.86,-9.39409161700519,-10.392969950800214,27.0260677971937,1.311089057555664e-08
0.865,-9.442609485730806,-10.383876344828522,27.154113712717265,1.3099739147206737e-08
0.87,-9.488174078972815,-10.36899018996216,27.282325147845903,1.307425044639735e-08
0.875,-9.53064540835932,-10.348272582074676,27.410264098964205,1.3035068685254082e-08
0.88,-9.569890450875203,-10.321712158079523,27.537489196778896,1.2982845973044608e-08
0.885,-9.605783148862129,-10.28932509593005,27.663555706318814,1.2918258695302003e-08
0.89,-9.638204445338218,-10.251155104224903,27.788015650285942,1.2842088083241412e-08
0.895,-9.667044060157298,-10.207273304334828,27.91042527352665,1.2755571892004218e-08
0.9,-9.69219862939215,-10.157780151310103,28.03033952863533,1.2659417618356774e-08
0.905,-9.713575746126244,-10.102804025868075,28.147320683555744,1.2555320803329096e-08
0.91,-9.731095989527024,-10.042500492165717,28.260944419474864,1.2444928480933818e-08
0.915,-9.744692924845902,-9.977052297799634,28.370799830822882,1.2329828948368665e-08
0.92,-9.754313103418266,-9.906669373806066,28.476489425273208,1.2211526490816154e-08
0.925,-9.75991615882272,-9.831587639778046,28.577630544003032,1.2091861234991019e-08
0.93,-9.761474902580902,-9.752064393533741,28.67386139704383,1.1972361421652686e-08
0.935,-9.758975678206227,-9.668383466494108,28.764835874467277,1.1854785561480588e-08
0.9400000000000001,-9.752420253867847,-9.58084614121364,28.850234128558835,1.1741206343944654e-08
0.9450000000000001,-9.741825980547633,-9.489769942410165,28.929763979096037,1.1633473907297073e-08
0.9500000000000001,-9.727225792040176,-9.395488636964846,29.003160913348488,1.1533182496861472e-08
0.9550000000000001,-9.708668204952787,-9.298352233922188,29.070188086077856,1.1441624791980187e-08
0.96,-9.686216328267015,-9.198722758726388,29.130636973077966,1.1360376294859643e-08
0.965,-9.659946911035641,-9.09696923893464,29.18432790023812,1.1290186056300489e-08
0.97,-9.629952155954362,-8.993471340581197,29.231110598348018,1.1232125687092013e-08
0.975,-9.596337530082153,-8.88860854965364,29.27086667708585,1.1187063507740758e-08
0.98,-9.559221690986138,-8.782759845424447,29.303509685767228,1.11554424038013e-08
0.985,-9.51873648674158,-8.676303700451005,29.32898511334518,1.1137286814667859e-08
0.99,-9.475026903081487,-8.569617976582178,29.347270324157652,1.1132257098869243e-08
0.995,-9.428247704562065,-8.463072887553157,29.358369897357303,1.1140136463296012e-08
1.0,-9.378565060851022,-8.357032643960274,29.36231679011918,1.1159951629048484e-08
1.0050000000000001,-9.326154436271572,-8.251851359688434,29.359171712715927,1.1191027573292229e-08
1.01,-9.27119848824548,-8.147869047330554,29.349020954265324,1.123240262432086e-08
1.0150000000000001,-9.21388706729303,-8.045411618187536,29.331976382730293,1.1282832142825807e-08
1.02,-9.154417217033062,-7.94479088226831,29.308175444918895,1.134082858611973e-08
1.025,-9.092991531321239,-7.846303219726616,29.277777749426726,1.1405112642559076e-08
1.03,-9.029816352667455,-7.750227742672199,29.24095999238811,1.1474031992806155e-08
1.035,-8.965102263730133,-7.65682661255482,29.197919040790104,1.1546233299178091e-08
1.04,-8.899060456630474,-7.566342323178395,29.148866313347686,1.1620382180446956e-08
1.045,-8.831902660019878,-7.478997644622929,29.09402764790624,1.1695103148386677e-08
1.05,-8.76384113907992,-7.3949956232444904,29.03364330144153,1.1768987702886816e-08
1.055,-8.695087897146498,-7.314519934061764,28.96796595947228,1.1840828332501064e-08
1.06,-8.625852711581379,-7.237736120568689,28.897254825898482,1.1909376906418166e-08
1.065,-8.55634384982991,-7.16479082781966,28.821778873602636,1.1973615158678906e-08
1.07,-8.486765077751972,-7.095812417618713,28.74181145834368,1.2032687481684548e-08
1.075,-8.417315483154276,-7.030911026443095,28.657629936368515,1.2085788166113215e-08
1.08,-8.348189475790331,-6.97017856544324,28.56951566441198,1.213216336503357e-08
1.085,-8.279576569242842,-6.913689243704421,28.477753329497155,1.2171192800070405e-08
1.09,-8.21166008772123,-6.861503445557625,28.382626421253832,1.2202330258319512e-08
1.095,-8.144617798472686,-6.813665995335083,28.284419800458224,1.2225135787184556e-08
1.1,-8.078620219399786,-6.770208463448462,28.18341617458048,1.223935348877082e-08
1.105,-8.013830355860819,-6.731149676500395,28.079895395797887,1.2244793379007779e-08
1.11,-7.950403700669768,-6.696495717284466,27.974134460994826,1.2241316315239911e-08
1.115,-7.88848823390114,-6.6662399277180615,27.8664075101865,1.2228856067433107e-08
1.12,-7.828224275876023,-6.640366274266459,27.756984250672755,1.2207426673757793e-08
1.125,-7.76974461065327,-6.618850415388061,27.646130190528666,1.2177036025098075e-08
1.1300000000000001,-7.713174270334618,-6.601659222697713,27.534106512233212,1.2137836369978055e-08
1.135,-7.658630318704615,-6.588752968902685,27.421168731783368,1.2090056131769371e-08
1.1400000000000001,-7.606221851230611,-6.580085327802661,27.307566698694053,1.2033958669204118e-08
1.145,-7.556049995062769,-6.575603374289754,27.193544595998183,1.1969868984480964e-08
1.1500000000000001,-7.508207915824491,-6.575247616879444,27.0793409377029,1.189814656936393e-08
1.155,-7.462781549154706,-6.578955442259613,26.96518859945649,1.1819123647232353e-08
1.16,-7.419849736998841,-6.58666108697887,26.85131566386569,1.1733198310667507e-08
1.165,-7.379484261219989,-6.598295126886537,26.737944994484856,1.1640821064054976e-08
1.17,-7.341750148367805,-6.613785879538463,26.625293976813072,1.1542502342596934e-08
1.175,-7.306705669678485,-6.633059404197023,26.513574518294106,1.1438788330800754e-08
1.18,-7.274402341074781,-6.656039501831117,26.402993048316453,1.1330279146246564e-08
1.185,-7.244884923165992,-6.682647715116175,26.29375051821329,1.1217603100068498e-08
1.19,-7.218191628296456,-6.712803636519734,26.18604256380619,1.110139307186853e-08
1.195,-7.19435585358682,-6.74642751226125,26.080061352090357,1.098224866939193e-08
1.2,-7.173405579615085,-6.783438672447842,25.975995400956386,1.0860848473991921e-08
1.205,-7.155363640384457,-6.823755297121306,25.87402912422824,1.0737938955296372e-08
1.21,-7.140247854073116,-6.867294581464016,25.774342883459827,1.0614296059396974e-08
1.215,-7.128071023034202,-6.913972735798941,25.677112987934958,1.049074296244844e-08
1.22,-7.1188409337958305,-6.963704985589624,25.5825116946674,1.0368155823863825e-08
1.225,-7.112560357061075,-7.016405571440204,25.490707208400828,1.0247446684874472e-08
1.23,-7.109227047707983,-7.071987749095393,25.401863681608862,1.012957560913396e-08
1.235,-7.108834543804095,-7.130363482951504,25.316141862319707,1.0015410538321882e-08
1.24,-7.11137418185533,-7.191444145865561,25.233701769766768,9.90587769702634e-09
1.245,-7.1168334219163665,-7.255139759635178,25.154700853153734,9.801981152589342e-09
1.25,-7.125195740834526,-7.321357619511385,25.079293127053347,9.704739162726114e-09
1.2550000000000001,-7.136440638019144,-7.390002285002056,25.007629171954598,9.615176329070902e-09
1.26,-7.150543635441567,-7.460975579871884,24.93985613426276,9.534324028354881e-09
1.2650000000000001,-7.167476277635156,-7.534176592142408,24.876117726299377,9.463199089959891e-09
1.27,-7.187206131695283,-7.6095016740919865,24.816554226302248,9.402790604516697e-09
1.2750000000000001,-7.2096967872793325,-7.686844442255822,24.76130247842545,9.354050724167433e-09
1.28,-7.234908338010261,-7.766094707153656,24.710495627679894,9.3177849374816e-09
1.285,-7.2627991615585135,-7.847136632090137,24.66426525406895,9.294686311072874e-09
1.29,-7.293323942460192,-7.9298506551433965,24.622740831422952,9.285446513626092e-09
1.295,-7.326433169274596,-8.014111470487107,24.586046511816804,9.29062369514875e-09
1.3,-7.362073149302767,-8.099787943552553,24.554301054837858,9.310643852135375e-09
1.305,-7.4001860085874736,-8.186743111028608,24.527617827585924,9.345780562109995e-09
1.31,-7.440709691913223,-8.27483418086176,24.506104804673264,9.396160208458258e-09
1.315,-7.483577962806249,-8.363912532256078,24.48986456822459,9.461763298506073e-09
1.32,-7.528720404319739,-8.453823699423658,24.47899424283186,9.542416829866292e-09
1.325,-7.576062714949676,-8.544405573831684,24.473582893617245,9.637665096768881e-09
1.33,-7.6255267807461715,-8.63548714165171,24.47371609917776,9.746945027529244e-09
1.335,-7.6770295144643095,-8.726890017725193,24.47947167579534,9.86960406553334e-09
1.34,-7.730482684255865,-8.818428358097393,24.490916924993407,1.0004848229263058e-08
1.345,-7.785792913669288,-8.909908860017346,24.508108633536843,1.0151751230682429e-08
1.35,-7.84286168164972,-9.001130761937903,24.531093073432007,1.0309277778958895e-08
1.355,-7.9015853225389785,-9.091885843515685,24.55990600192674,1.0476314751314856e-08
1.36,-7.961855026075572,-9.181958425611121,24.594572661510348,1.0651685904878983e-08
1.365,-8.023557009486227,-9.27112619350967,24.63510554286093,1.0834152661918198e-08
1.37,-8.086571801274266,-9.359157345598138,24.681504012474516,1.1022209405815508e-08
1.375,-8.150773693968464,-9.445811048596278,24.733755619937455,1.1214551529046835e-08
1.3800000000000001,-8.216031438991088,-9.530841886053748,24.79183052512729,1.1409837012181219e-08
1.385,-8.282208257685706,-9.61399991714249,24.855681404418377,1.1606704763353948e-08
1.3900000000000001,-8.349161841317219,-9.695030676656755,24.925243450681933,1.1803761807662137e-08
1.395,-8.416744351071836,-9.773675175013068,25.000434373285994,1.1999614209736875e-08
1.4000000000000001,-8.484802418057093,-9.849669898250266,25.08115439809545,1.2192888115714615e-08
1.405,-8.553177856086668,-9.92274973444905,25.167284856077803,1.23823562133677e-08
1.41,-8.621706218662725,-9.992646181359095,25.258686088077273,1.2566359003276517e-08
1.415,-8.690216719643768,-10.059087184299905,25.355198220557252,1.2743719245323411e-08
1.42,-8.758534812325896,-10.121805359012503,25.4566392707702,1.2913315074402902e-08
1.425,-8.826482216854597,-10.180538084749807,25.5628051176678,1.3074010673410016e-08
1.43,-8.893876920224722,-10.235027504276593,25.673469501900918,1.3224680889267327e-08
1.435,-8.9605331762805,-10.285020523869525,25.788384025819635,1.3364235697745199e-08
