t,v,iL
16.715,1.1792884914640969,1.9803483406362232
16.72,1.1757049712447143,1.986235844225629
16.725,1.172105798180576,1.9921053928179653
16.73,1.1684908174907798,1.9979569074033432
16.735,1.164859871987854,2.0037903081396093
16.740000000000002,1.1612128020777643,2.0096055143523355
16.745,1.1575494457599222,2.015402444534804
16.75,1.1538696386271694,2.021181016348033
16.755,1.1501732138657879,2.026941146620761
16.76,1.1464600022554947,2.032682751349455
16.765,1.142729832169453,2.0384057456982925
16.77,1.1389825295742557,2.0441100439991877
16.775,1.135217918029936,2.049795559751774
16.78,1.1314358186899627,2.055462205623413
16.785,1.1276360503012501,2.0611098934491787
16.79,1.1238184292041427,2.0667385342318796
16.795,1.1199827693324222,2.07234803814205
16.8,1.1161288822133169,2.0779383145179335
16.805,1.1122565769674844,2.0835092718655117
16.81,1.108365660309023,2.089060817858485
16.815,1.1044559365454663,2.0945928593382823
16.82,1.1005272075777939,2.1001053023140432
16.825,1.0965792729004145,2.1055980519626445
16.830000000000002,1.0926119296011751,2.111071012628686
16.835,1.0886249723613692,2.1165240878244798
16.84,1.084618193455719,2.121957180230073
16.845,1.080591382752388,2.1273701916932337
16.85,1.0765443277129745,2.1327630232294568
16.855,1.0724768133925227,2.1381355750219497
16.86,1.0683886183822724,2.14348774511106
16.865000000000002,1.0642794877285773,2.1488194200484476
16.87,1.0601491935098035,2.1541304939783483
16.875,1.0559975122969831,2.159420862388431
16.88,1.0518242161070699,2.164690419296137
16.885,1.0476290724029347,2.1699390572486874
16.89,1.0434118440933757,2.1751666673230656
16.895,1.0391722895331021,2.180373139126042
16.9,1.0349101625227453,2.1855583607941598
16.905,1.0306252123088526,2.1907222189937396
16.91,1.0263171835839,2.1958645989208665
16.915,1.0219858164862738,2.200985384301413
16.92,1.0176308466002795,2.206084457391025
16.925,1.0132520049561509,2.2111616989751153
16.93,1.008849018030032,2.2162169883688794
16.935,1.0044216077439894,2.221250203417288
16.94,0.9999694914660054,2.226261220495088
16.945,0.9954923820099917,2.231249914506792
16.95,0.9909899876357693,2.2362161588866987
16.955000000000002,0.9864620120490787,2.241159825598882
16.96,0.9819081544015893,2.2460807851371793
16.965,0.9773281092908801,2.2509789065252157
16.97,0.9727215667604526,2.2558540573163866
16.975,0.9680882122997245,2.2607061035938667
16.98,0.9634277268440425,2.265534909970596
16.985,0.958739786774663,2.2703403395892985
16.990000000000002,0.9540240639187612,2.2751222541224756
16.995,0.9492802255494419,2.2798805137723925
17.0,0.9445079343857193,2.2846149772710995
17.005,0.9397068485925301,2.28932550188042
17.01,0.9348766217807267,2.294011943391955
17.015,0.9300169030070915,2.2986741561270714
17.02,0.9251273367743157,2.303311992936921
17.025,0.9202075630310131,2.3079253052024273
17.03,0.9152572171717136,2.3125139428342925
17.035,0.9102759300368766,2.317077754272985
17.04,0.9052633279128706,2.3216165864887572
17.045,0.900219032531983,2.326130284981637
17.05,0.8951426610724316,2.3306186937814184
17.055,0.8900337858077163,2.33508164286846
17.06,0.8848919572853002,2.3395189546170903
17.065,0.8797167803673751,2.3439304677755635
17.07,0.8745078518833087,2.348316018560357
17.075,0.8692647600310026,2.3526754404721197
17.080000000000002,0.8639870843769034,2.357008564295663
17.085,0.8586743958560137,2.3613152180999526
17.09,0.85332625677187,2.365595227238124
17.095,0.8479422207965576,2.369848414347475
17.1,0.8425218329707028,2.374074599349467
17.105,0.8370646297034884,2.3782735994497153
17.11,0.8315701387726309,2.3824452291380074
17.115000000000002,0.8260378793243912,2.386589300188293
17.12,0.8204673618735876,2.390705621658676
17.125,0.814858088303571,2.3947939998914314
17.13,0.8092095518662417,2.3988542385129934
17.135,0.8035212371820405,2.402886138433962
17.14,0.7977926202399657,2.4068894978490927
17.145,0.792023168397548,2.41086411223731
17.150000000000002,0.7862123403808636,2.414809774361702
17.155,0.7803595862845456,2.418726274269511
17.16,0.7744643475717596,2.4226133992921506
17.165,0.768526057074221,2.4264709340451933
17.17,0.7625441389921851,2.4302986604283774
17.175,0.7565180088944654,2.434096357625597
17.18,0.7504470737184075,2.437863802104914
17.185,0.7443307317699063,2.4416007676185534
17.19,0.7381683727233973,2.4453070252029034
17.195,0.731959377621874,2.448982343178508
17.2,0.7257031188768617,2.4526264871500802
17.205000000000002,0.719398960268431,2.4562392200064975
17.21,0.7130462569452104,2.4598203019207916
17.215,0.7066443554243602,2.4633694903501637
17.22,0.7001925935915903,2.466886540035976
17.225,0.6936903007011503,2.4703712030037557
17.23,0.6871367973758497,2.4738232285631847
17.235,0.6805313956070282,2.4772423633081155
17.240000000000002,0.6738733987545708,2.4806283511165628
17.245,0.6671621015469215,2.4839809331506966
17.25,0.6603967856513834,2.4872998450239874
