t,x,x_dot,theta,theta_dot,E,E_minus_E0
4.246666666666667,-3.557355989463523,0.4435059109751946,-25.505128009280494,-3.031826589638375,0.03608172849067363,1.2015489162080284
4.25,-3.5558807122915033,0.44165224795176417,-25.51531003823813,-3.077569567272291,0.035304759607874825,1.2007719473252296
4.253333333333334,-3.554411697702274,0.43974763451212456,-25.525646334511283,-3.124387752797331,0.03453263874618955,1.1999998264635443
4.256666666666667,-3.552949318189346,0.4374965676605699,-25.536139895840563,-3.1713953294244193,0.03369892859336073,1.1991661163107155
4.260000000000001,-3.551500046984083,0.4317725472235431,-25.546775110623514,-3.209026837631447,0.032087013279192264,1.197554200996547
4.263333333333334,-3.5500667569558626,0.4285300162369078,-25.55754725336251,-3.2554954394940347,0.031077138304259032,1.1965443260216138
4.266666666666667,-3.5486460091889054,0.42451146609267043,-25.568471251165505,-3.3009220804771955,0.029919956316540007,1.1953871440338948
4.2700000000000005,-3.547233707978242,0.42309486528502627,-25.57956383815488,-3.3555336904680106,0.029383950401203514,1.1948511381185583
4.273333333333333,-3.545826574593118,0.42098338058266693,-25.590839339803267,-3.4093808511007464,0.028718448686949692,1.1941856364043044
4.276666666666667,-3.5444268217562978,0.4189012137170697,-25.602295537628066,-3.4646637249941756,0.02809195573006855,1.1935591434474233
4.28,-3.5430340528986983,0.4167509709893571,-25.61393816320601,-3.521113430067931,0.02748482430450508,1.19295201202186
4.283333333333333,-3.5416485973138543,0.41448799556633725,-25.625770825509914,-3.5786131181128487,0.02688966756652289,1.1923568552838777
4.286666666666667,-3.5402709175353477,0.41209712357996947,-25.637796805397034,-3.6371422027298315,0.0263063086236872,1.191773496341042
4.29,-3.538901478298463,0.4095359546838023,-25.65001945573815,-3.696597352066403,0.025728385597417622,1.1911955733147723
4.293333333333334,-3.5375408093392173,0.40683328122242157,-25.66244201010572,-3.757085372510679,0.025165842552282283,1.190633030269637
4.296666666666667,-3.536189397750417,0.40399214744206086,-25.675067906652192,-3.818638061532523,0.02462293273404155,1.1900901204513963
4.300000000000001,-3.5348477112848347,0.40099627186022696,-25.687900727312133,-3.881231155583651,0.024099650007024548,1.1895668377243793
4.303333333333334,-3.5335162814137178,0.39784090280375334,-25.70094394230698,-3.9448747130765924,0.023598786703565813,1.1890659744209207
4.306666666666667,-3.5321956423624803,0.3945204246958551,-25.714201063596477,-4.009576452936293,0.023123072305357595,1.1885902600227123
4.3100000000000005,-3.5308863507094457,0.3910284362937369,-25.727675629580062,-4.075342584332522,0.022675223384533497,1.1881424111018883
4.3133333333333335,-3.5295889879444533,0.387358272583724,-25.741371199497966,-4.142179364434227,0.02225806615450772,1.1877252538718626
4.316666666666667,-3.5283041604688528,0.3835030047812554,-25.755291353431232,-4.210093098409659,0.021874536929761906,1.1873417246471167
4.32,-3.5270324995955074,0.37945544033089185,-25.76943969230168,-4.279090139426225,0.021527681741111707,1.1869948694584664
