t,theta1,theta1_dot,theta2,theta2_dot
11.0875,-0.4595546401175263,1.503889810408594,-0.6976464604908948,0.5291116289312039
11.09,-0.4557874501923236,1.5098346890944745,-0.696302515172015,0.5460807981925424
11.0925,-0.4520056503502309,1.5155761501685645,-0.694915778915865,0.5633485768441834
11.095,-0.448209748628762,1.521114338052592,-0.6934855082066275,0.5809126800610226
11.0975,-0.4444002531519641,1.5264494471521888,-0.6920109638381626,0.5987706821669976
11.1,-0.4405776713281051,1.5315817149210404,-0.690491413045147,0.6169200344109985
11.1025,-0.4367425022850426,1.5365113370500143,-0.6889261502491002,0.6353582652402877
11.105,-0.4328952540450451,1.5412385919311682,-0.68731445242499,0.6540826408577226
11.1075,-0.4290364364022578,1.5457638128197142,-0.6856555970913099,0.6730902670189303
11.11,-0.4251665574046979,1.5500873620514375,-0.6839488715142299,0.6923781592406156
11.1125,-0.4212861233542494,1.554209631042704,-0.6821935727075944,0.7119432428005881
11.115,-0.4173956388066737,1.558131040290447,-0.6803890074329274,0.7317823527377065
11.1175,-0.4134956065715934,1.5618520393721855,-0.6785344921994246,0.751892233851962
11.12,-0.4095865277125006,1.5653731069460164,-0.6766293532639575,0.7722695407044373
11.1225,-0.4056689015467648,1.5686947507506046,-0.6746729266310766,0.7929108376172622
11.125,-0.4017432256456168,1.5718175076052006,-0.6726645580530048,0.8138125986737013
11.1275,-0.3978099958341595,1.5747419434096288,-0.6706036030296417,0.8349712077180949
11.13,-0.3938697061913623,1.577468653144293,-0.6684894268085608,0.8563829583558898
11.1325,-0.3899228490500725,1.5799982608701677,-0.6663214043850161,0.8780440539535781
11.135,-0.3859699149969982,1.582331419728811,-0.6640989205019323,0.899950607638788
11.1375,-0.3820113928727169,1.584468811942357,-0.66182136964991,0.9220986423002392
11.14,-0.3780477697716842,1.586411148813512,-0.6594881560672301,0.9444840905876952
11.1425,-0.3740795310422161,1.588159170725565,-0.6570986937398445,0.9671027949120572
11.145,-0.3701071602865013,1.5897136471423796,-0.654652406401382,0.9899505074453014
11.1475,-0.3661311393605949,1.5910753766083976,-0.6521487275331456,1.0130228901205125
11.15,-0.3621519474926568,1.5922451788891718,-0.6495871027499939,1.036315561408911
11.1525,-0.3581700610410609,1.5932238493294053,-0.6469669931320287,1.0598242665831032
11.155,-0.3541859605683184,1.5940122123629017,-0.6442878570520258,1.0835445425035506
11.1575,-0.3502001243506546,1.5946111260386555,-0.641549164201053,1.1074718405117698
11.16,-0.3462130276467268,1.5950214791468411,-0.6387503973540005,1.131601552193249
11.1625,-0.3422251426976068,1.5952441912188131,-0.6358910523695706,1.1559290093775478
11.165,-0.3382369387267894,1.5952802125271084,-0.6329706381902822,1.1804494841382491
11.1675,-0.3342488819402014,1.5951305240854423,-0.629988676842478,1.2051581887929046
11.17,-0.3302614355261837,1.594796137648712,-0.6269447034363117,1.2300502759031395
11.1725,-0.3262750596555035,1.5942780957129952,-0.6238382661657564,1.2551208382745838
11.175,-0.3222902114813482,1.593577471515549,-0.6206689263086003,1.2803649089569065
11.1775,-0.3183073451393366,1.5926953690348131,-0.6174362582264553,1.3057774612437454
11.18,-0.3143269117475025,1.5916329229904067,-0.6141398493647443,1.3313534086728125
11.1825,-0.3103493594063026,1.590391298843128,-0.6107793002527069,1.3570876050258427
11.185,-0.3063751331986251,1.5889716927949598,-0.6073542245034074,1.3829748443285372
11.1875,-0.302404675189773,1.587375331789061,-0.6038642488137203,1.409009860850674
11.19,-0.2984384244274752,1.5856034735097744,-0.6003090129643395,1.435187329106034
11.1925,-0.2944768169418809,1.5836574063826196,-0.5966881698197738,1.4615018638524389
11.195,-0.2905202846638886,1.581538473016515,-0.5930013866577473,1.4879480118685111
11.1975,-0.2865692554931147,1.5792481209629032,-0.5892483440318487,1.5145202467941865
11.2,-0.2826241608323495,1.576787751442762,-0.5854287264319887,1.5412130211794903
11.2025,-0.278685427891573,1.574158817109788,-0.5815422332606797,1.568020712456415
11.205,-0.2747534789358316,1.5713628346414674,-0.5775885798363798,1.594937617523114
11.2075,-0.270828731285249,1.568401384739082,-0.5735674973935045,1.621957952743827
11.21,-0.2669115973150206,1.5652761121277057,-0.5694787330824204,1.649075853948918
11.2125,-0.2630024844554247,1.5619887255562122,-0.5653220499694565,1.6762853764347971
11.215,-0.259101795191806,1.5585409977972642,-0.5610972270368877,1.7035804949640376
11.2175,-0.2552099270645861,1.55493476564732,-0.5568040591829461,1.7309551037652984
11.22,-0.2513272726692589,1.5511719299266291,-0.5524423572218142,1.758403016533362
11.2225,-0.2474542196564009,1.5472544554792431,-0.5480119478836387,1.7859179664290574
11.225,-0.2435911507316549,1.543184371173001,-0.5435126738145106,1.8134936060793776
11.2275,-0.2397384436557383,1.538963769899533,-0.5389443935764752,1.8411235075774195
11.23,-0.2358964712444511,1.5345948085742755,-0.5343069816475414,1.8688011624823253
11.2325,-0.2320656013686599,1.5300797081364477,-0.529600328421663,1.896519981819404
11.235,-0.2282461969419403,1.5254207537303217,-0.524824340222807,1.924273295869208
11.2375,-0.2244386095499975,1.5206204082298949,-0.5199789458659019,1.9520542228932516
11.24,-0.2206431899593363,1.515681211602944,-0.5150640830100207,1.9798557875111888
11.2425,-0.2168602880650114,1.510605723375944,-0.5100797003345471,2.0076709841418925
11.245,-0.2130902452390342,1.5053966175776168,-0.5050257668341556,2.0354926657367742
11.2475,-0.2093333943303801,1.500056682738943,-0.4999022718188222,2.0633135437797234
11.25,-0.2055900596649726,1.4945888218931402,-0.4947092249138032,2.09112618828723
11.2525,-0.2018605570456945,1.4889960525756771,-0.4894466560596494,2.1189230278082998
11.255,-0.1981451937523818,1.483281506824266,-0.4841146155121985,2.1466963494244986
11.2575,-0.1944442685418349,1.4774484311788785,-0.4787131738425905,2.174438298749872
11.26,-0.1907580716478025,1.4715001866817226,-0.4732424219372451,2.2021408799310622
11.2625,-0.1870868847809896,1.4654402488772529,-0.4677024709978725,2.229795955647251
11.265,-0.183430981129065,1.4592722078121851,-0.4620934525414858,2.2573952471100984
11.2675,-0.1797906253566463,1.4529997680354692,-0.4564155184003772,2.2849303340638643
11.27,-0.1761660736053097,1.4466267485983073,-0.4506688407221335,2.312392654785325
11.2725,-0.1725575734935853,1.4401570830541446,-0.4448536119696283,2.3397735060838167
11.275,-0.1689653638593914,1.4335948209829923,-0.4389700452258902,2.3670640408878647
11.2775,-0.1653896643139121,1.4269442148140106,-0.4330183858685224,2.394255132552125
11.28,-0.1618306916293348,1.4202096708058771,-0.4269988910601629,2.42133745558792
11.2825,-0.1582886559234226,1.4133957128001706,-0.4209118361771993,2.4483015385264024
11.285,-0.1547637535609985,1.4065070115909093,-0.4147575235900941,2.475137716489437
11.2875,-0.1512561671539304,1.3995483849245225,-0.4085362826633587,2.501836131189715
11.29,-0.1477660655611389,1.392524797499865,-0.4022484697555664,2.5283867309307
11.2925,-0.1442936038886044,1.385441360968233,-0.3958944682193659,2.5547792706065664
11.295,-0.1408389234893525,1.3783033339333328,-0.3894746884014542,2.581003311702318
11.2975,-0.1374021519634638,1.371116121951302,-0.3829895676425951,2.607048222293708
11.3,-0.1339834031580689,1.3638852775306978,-0.3764395702776093,2.6329031770472784
11.3025,-0.1305827771673582,1.3566165001325197,-0.3698251876353937,2.658557157220286
11.305,-0.1272003603325675,1.3493156361701766,-0.363146938038893,2.6839989506608144
11.3075,-0.1238362252419849,1.3419886790095037,-0.3564053668051137,2.709217151807714
11.31,-0.1204904307309583,1.334641768968777,-0.3496010462451389,2.7342001616905547
11.3125,-0.117163021881881,1.3272811933186834,-0.342734575664099,2.758936187929728
11.315,-0.1138540258447814,1.3199133200862436,-0.3358065861295557,2.78341333904539
11.3175,-0.1105634480788735,1.3125446548300543,-0.3288177447625932,2.807619517269839
11.32,-0.1072912852415118,1.3051820472958398,-0.3217687405554641,2.831542125395287
11.3225,-0.104037515849137,1.2978324420633676,-0.3146602953267176,2.85516844602698
11.325,-0.1008020998232851,1.290502869048542,-0.3074931642434689,2.878485655651759
11.3275,-0.0975849784905941,1.2832004435034192,-0.3002681358214153,2.901480824638009
11.33,-0.0943860745827906,1.275932366016176,-0.2929860319248052,2.92414091723576
11.3325,-0.0912052922366986,1.2687059225111308,-0.2856477077664584,2.94645279157662
11.335,-0.0880425169942352,1.2615284842487338,-0.278254051907756,2.968403199673808
11.3375,-0.0848976158024196,1.2544075078255863,-0.2708059862586612,2.9899787874220904
11.34,-0.0817704370133595,1.2473505351744107,-0.263304466077688,3.011166094597877
11.3425,-0.0786608103842601,1.2403651935640716,-0.2557504799719221,3.0319515548591545
11.345,-0.0755685470774197,1.2334591955995642,-0.2481450498970102,3.052321495745521
11.3475,-0.0724934396602385,1.2266403392220353,-0.2404892311571816,3.072262138678125
11.35,-0.0694352621052053,1.2199165077087533,-0.232784112405216,3.091759598959753
11.3525,-0.0663937701463915,1.2132955523931197,-0.2250308141801859,3.1108000726893645
11.355,-0.0633686983842893,1.206785065777864,-0.2172304915611727,3.129370179969213
11.3575,-0.0603597569692422,1.2003930661871367,-0.2093843448841506,3.147455870844747
11.36,-0.0573666372977848,1.1941275060198309,-0.2014936074036916,3.1650432331679883
11.3625,-0.0543890124028768,1.1879962154296704,-0.1935595442626335,3.182118583562633
11.365,-0.051426536953912,1.1820069023252249,-0.1855834524921027,3.1986684674240022
11.3675,-0.0484788472567054,1.1761671523698844,-0.1775666610114803,3.214679658919114
11.37,-0.0455455612534993,1.170484428981874,-0.1695105306284188,3.230139160986646
11.3725,-0.0426262785229703,1.1649660733342628,-0.1614164540388596,3.245034205336905
11.375,-0.0397205802802158,1.1596193043549428,-0.1532858558269984,3.2593522524518908
11.3775,-0.0368280293767632,1.1544512187266427,-0.1451201924653083,3.2730809915852537
11.38,-0.0339481703005653,1.1494687908869214,-0.1369209523145281,3.286208340762314
