t,x,x_dot,theta,theta_dot
3.33,-0.00047241785052175224,0.0011801403309537658,-0.0001442978823016024,-8.428332635494882e-05
3.3333333333333335,-0.00046849207833780547,0.00117441117352527,-0.00014457808867770003,-8.061317756965777e-05
3.336666666666667,-0.00046458571411863326,0.001168692234274626,-0.00014484503446397058,-7.702280651748746e-05
3.3400000000000003,-0.000460698876001596,0.00116298722793213,-0.0001450984409464659,-7.352402770790941e-05
3.3433333333333337,-0.0004568316151301657,0.0011572978855304361,-0.0001453382627106803,-7.0121566621608e-05
3.3466666666666667,-0.00045298341674112426,0.0011516090990271843,-0.0001455664635826833,-6.675979844169486e-05
3.35,-0.0004491541652228427,0.0011459179272128815,-0.00014578357886880426,-6.342666127774602e-05
3.3533333333333335,-0.0004453438689979025,0.0011402251706452563,-0.00014598969758615468,-6.01235170889181e-05
3.356666666666667,-0.0004415525347476723,0.0011345315835832688,-0.00014618491066274624,-5.685158293390259e-05
3.3600000000000003,-0.0004377801674123084,0.0011288378739871105,-0.0001463693109374906,-5.3611930970926244e-05
3.3633333333333337,-0.0004340267701907542,0.0011231447035182057,-0.00014654299316019953,-5.040548845775113e-05
3.3666666666666667,-0.0004302923445407417,0.0011174526875392112,-0.0001467060539915848,-4.723303775167504e-05
3.37,-0.00042657689017878845,0.0011117623951140134,-0.00014685859200325835,-4.409521630952978e-05
3.3733333333333335,-0.0004228804050802013,0.0011060743490077332,-0.00014700070767773203,-4.099251668768374e-05
3.376666666666667,-0.00041920288547907415,0.0011003890256867227,-0.0001471325034084178,-3.7925286542040164e-05
3.3800000000000003,-0.0004155443258682882,0.001094706855318566,-0.00014725408349962774,-3.489372862803762e-05
3.3833333333333337,-0.0004119047189995125,0.0010890282217720796,-0.00014736555416657385,-3.189790080064995e-05
3.3866666666666667,-0.00040828405588320385,0.001083353462617312,-0.00014746702353536832,-2.8937716014386688e-05
3.39,-0.0004046823257886053,0.0010776828691255425,-0.0001475586016430233,-2.6012942323291508e-05
3.3933333333333335,-0.0004010995162437488,0.0010720166862692839,-0.00014764040043745104,-2.3123202880944543e-05
3.396666666666667,-0.0003975356130354534,0.0010663551127222805,-0.00014771253377746386,-2.0267975940460825e-05
3.4000000000000004,-0.0003939906002093257,0.0010606983008595089,-0.00014777511743277406,-1.7446594854490693e-05
3.4033333333333338,-0.0003904644600697598,0.0010550463567571776,-0.00014782826908399407,-1.4658248075219784e-05
3.4066666666666667,-0.00038695717317993773,0.0010493993401927276,-0.00014787210832263633,-1.1901979154369395e-05
3.41,-0.0003834687183618278,0.0010437572646448301,-0.00014790675665111335,-9.17668674319502e-06
3.4133333333333336,-0.0003799990726961872,0.0010381200972933904,-0.00014793233748273773,-6.481124592488542e-06
3.416666666666667,-0.00037654821152256014,0.001032487759019545,-0.00014794897614172205,-3.813901552576814e-06
3.4200000000000004,-0.0003731161084392784,0.0010268601244056625,-0.00014795679986317898,-1.1734815733219477e-06
3.4233333333333333,-0.0003697027353034618,0.0010212370217353446,-0.00014795593779312128,1.441816295878306e-06
3.4266666666666667,-0.0003663080622310162,0.0010156182329934223,-0.0001479465209884617,4.033817906091915e-06
3.43,-0.00036293205749470035,0.001010003492963167,-0.0001479286828832923,6.604498434539502e-06
3.4333333333333336,-0.00035957463157762465,0.0010043921642711065,-0.0001479028197297537,9.157878554409055e-06
3.436666666666667,-0.0003562357280620764,0.0009987845040303643,-0.00014786918758053703,1.1694637997915424e-05
3.4400000000000004,-0.00035291534796870363,0.000993181402761912,-0.00014782777907150894,1.4212551596517825e-05
3.4433333333333334,-0.0003496134902517085,0.000987583714055921,-0.00014777859190613873,1.6709521071293236e-05
3.4466666666666668,-0.0003463301517988453,0.0009819922545717594,-0.00014772162885549807,1.9183575032937746e-05
3.45,-0.00034306532743142327,0.000976407804037996,-0.0001476568977582614,2.1632868981764535e-05
3.4533333333333336,-0.00033981900990430485,0.0009708311052523981,-0.00014758441152070556,2.4055685307705226e-05
3.456666666666667,-0.00033659118990590596,0.0009652628640819313,-0.00014750418811671002,2.645043329030953e-05
