t,theta1_A,theta1_dot_A,theta2_A,theta2_dot_A,theta1_B,theta1_dot_B,theta2_B,theta2_dot_B,diff_norm,E,E_minus_E0
0.1525,0.6097989180419835,-1.1254923006272723,0.7241970896995,0.2178370175017205,0.6105828523041981,-1.1281803465604219,0.7245181956401282,0.22175740929487753,0.004828325248277644,4.613796267768469,-1.7709866462212176e-08
0.155,0.6069669608015165,-1.1400423340607597,0.7247376763829896,0.21457737968651805,0.607744134579144,-1.1427626035900704,0.7250686331109614,0.21853746856390052,0.004878083810809968,4.613796265426556,-2.0051779792140678e-08
0.1575,0.6040988640398197,-1.1544030774637546,0.7252696958108026,0.21098146421029748,0.6048691976045721,-1.1571548601459338,0.7256106007531427,0.21497970915939146,0.004926246094501691,4.613796265184998,-2.029333767694652e-08
0.16,0.6011951038291166,-1.1685720756997786,0.72579230247941,0.20704482686121561,0.6019585194957929,-1.1713546440050318,0.7261432486280922,0.2110796442751376,0.0049727662941756266,4.613796264987687,-2.0490649177418163e-08
0.1625,0.5982561596466626,-1.1825469874447818,0.7263046454675957,0.20276328446513234,0.5990125812972815,-1.1853596014304675,0.7266657224335261,0.206833060497408,0.005017611451100074,4.6137962645447885,-2.0933547340007408e-08
0.165,0.5952825223183764,-1.196325498469194,0.7268058511608029,0.19813268497661016,0.5960318755331382,-1.1991674072170238,0.7271771448419383,0.202235778307459,0.005060751866153136,4.613796265928528,-1.954980799467876e-08
0.1675,0.5922746878035442,-1.2099053753149644,0.7272950370621882,0.19314905405725832,0.5930169001858067,-1.2127758146571932,0.727676628919264,0.1972837893506767,0.005102151460886317,4.613796270034753,-1.544358330107798e-08
0.17,0.5892331564613345,-1.223284472817049,0.7277713133989326,0.18780861516721026,0.5899681576374471,-1.2261826662959232,0.7281632804450363,0.1919732851987392,0.005141776619673596,4.613796276605193,-8.87314310915599e-09
0.17250000000000001,0.5861584330507982,-1.2364607341034097,0.7282337831222406,0.18210778956512358,0.5868861546699361,-1.2393858939306146,0.7286361979123869,0.18630065734961657,0.0051795961899767365,4.613796284470187,-1.0081491197411196e-09
0.17500000000000002,0.5830510267308687,-1.2494321905950145,0.7286815419073408,0.17604319630818013,0.5837714024648661,-1.2523835186111227,0.7290944725280448,0.18026249722757076,0.005215581482699997,4.61379629184133,6.362994575681569e-09
0.1775,0.5799114510603617,-1.2621969620058378,0.7291136781534854,0.16961165225208608,0.5806244166035465,-1.265173650639756,0.7295371882123378,0.17385559618315585,0.005249706272648001,4.613796296662544,1.1184208226211467e-08
0.18,0.5767402239979751,-1.2747532563428607,0.7295292729839509,0.1628101720510715,0.5774457170670023,-1.2777544895712776,0.7299634215991913,0.1670769454932176,0.005281946799099476,4.6137962970277,1.154936413172436e-08
0.1825,0.5735378679022894,-1.28709936990607,0.7299274002460373,0.15563596815789107,0.5742358282359754,-1.2901243242129037,0.7303722420361288,0.15992373636089396,0.005312281766503467,4.613796291672548,6.1942122542291145e-09
0.185,0.5703049095317673,-1.2992336872884587,0.7303071265110689,0.14808645082382338,0.5709952788909237,-1.3022815326243053,0.730762711584272,0.15239335991561473,0.005340692345303639,4.613796280548245,-4.9300910021088384e-09
0.1875,0.5670418800447538,-1.3111546813760264,0.7306675110743935,0.14015922809867137,0.5677246022120214,-1.3142245821176066,0.7311338850183404,0.1444834072131017,0.005367162172890005,4.613796265483206,-1.9995129996175365e-08
0.19,0.5637493149994766,-1.3228609133477789,0.7310076059553833,0.13185210583076223,0.5644243357791591,-1.3259520292573863,0.731484809826652,0.13619166923536868,0.005391677354681442,4.613796250939476,-3.453885977222626e-08
0.1925,0.5604277543074367,-1.334351032615376,0.7313264560072639,0.12316308783746722,0.5610950215719436,-1.3374625198606764,0.7318145262111223,0.12751613689072133,0.005414226358758977,4.613796244657641,-4.082069526845089e-08
0.195,0.5570777366553709,-1.3456237737717505,0.7316231119232753,0.11409040762024085,0.5577372011751224,-1.3487547853572468,0.7321220782867636,0.11845502582356417,0.00543479406178351,4.6137962329749085,-5.2503427383499e-08
